branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 4.26664, 54.0276, 58.29424, 0.353175, 5.81762, 6.170795, 1.0, 0.886505, 12.571069999999999
2, 2, 3.96834, 48.9193, 52.88764, 0.318872, 5.45511, 5.773982, 0.992786, 0.8149145, 11.5700225
2, 3, 3.81025, 46.0828, 49.89305, 0.305242, 5.30987, 5.615112, 0.9916746666666666, 0.78152325, 11.070219999999999
2, 4, 3.70205, 44.1533, 47.85535, 0.296695, 5.20712, 5.5038149999999995, 0.9919305, 0.7594512499999999, 10.7262825
2, 5, 3.62122, 42.693, 46.31422, 0.289929, 5.09911, 5.3890389999999995, 0.9919148, 0.7425815, 10.435735
2, 6, 3.55862, 41.5026, 45.06122, 0.284484, 5.04717, 5.331654, 0.9926020000000001, 0.7293115, 10.234995000000001
2, 7, 3.50577, 40.6418, 44.14757, 0.279571, 4.97327, 5.252841, 0.9939144285714285, 0.71779225, 10.053495000000002
2, 8, 3.45858, 39.7295, 43.18808, 0.278027, 4.89456, 5.172587, 0.993505875, 0.7103495, 9.8607475
2, 9, 3.42065, 39.0774, 42.49805, 0.2736, 4.78601, 5.05961, 0.9914394444444444, 0.7011812500000001, 9.670684999999999
2, 10, 3.38216, 38.4318, 41.81396, 0.2712, 4.77464, 5.04584, 0.9944288, 0.69397, 9.578615
2, 11, 3.35204, 37.8834, 41.235440000000004, 0.268377, 4.72887, 4.997247, 0.9941509090909091, 0.6873819999999999, 9.464295
2, 12, 3.32017, 37.318, 40.638169999999995, 0.264303, 4.66046, 4.924763, 0.9942915833333333, 0.6793242500000001, 9.325209999999998
2, 13, 3.29684, 36.9562, 40.253040000000006, 0.263436, 4.6617, 4.925136, 0.9934178461538461, 0.675541, 9.281225
2, 14, 3.27263, 36.4262, 39.69883, 0.26303, 4.57711, 4.84014, 0.9943163571428572, 0.67210875, 9.130385
2, 15, 3.2497, 36.1512, 39.4009, 0.259523, 4.54473, 4.804253, 0.9938275333333333, 0.6657355, 9.06363
2, 16, 3.22796, 35.7268, 38.95476, 0.259366, 4.53734, 4.796706, 0.9949084375, 0.6628609999999999, 9.00319

3, 1, 3.03036, 36.0596, 39.089960000000005, 0.35655, 5.81216, 6.168710000000001, 1.0, 0.7353449999999999, 10.31961
3, 2, 2.83492, 32.6481, 35.483019999999996, 0.330257, 5.59028, 5.9205369999999995, 0.992594, 0.6846220000000001, 9.6712925
3, 3, 2.73172, 30.9098, 33.64152, 0.316957, 5.43698, 5.7539370000000005, 0.99167, 0.6584220000000001, 9.300705
