branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 51.8039, 23.5163, 75.3202, 2.41792, 0.618184, 3.036104, 1.0, 8.8934075, 3.5577215
2, 2, 49.7499, 22.7471, 72.497, 2.05042, 0.682325, 2.732745, 0.9963725, 8.269157499999999, 3.5257125
2, 3, 48.6638, 22.3796, 71.0434, 2.97292, 1.16581, 4.13873, 0.9883343333333333, 9.055895, 3.96326
2, 4, 47.9333, 22.1642, 70.0975, 2.62248, 1.12572, 3.7481999999999998, 0.977382, 8.6141425, 3.8962450000000004
2, 5, 47.2427, 21.7376, 68.9803, 2.77922, 1.11058, 3.8898, 0.9669576, 8.6845575, 3.8277799999999997
2, 6, 46.3312, 21.5349, 67.8661, 2.54637, 1.07122, 3.61759, 0.9702406666666666, 8.33777, 3.7630825000000003
2, 7, 45.9968, 21.2678, 67.2646, 2.59052, 1.06215, 3.65267, 0.9681927142857143, 8.34012, 3.720625
2, 8, 45.777, 21.1627, 66.9397, 2.45523, 1.10169, 3.55692, 0.97144625, 8.177355, 3.7470275
2, 9, 45.5327, 21.0388, 66.5715, 2.65798, 1.17447, 3.8324499999999997, 0.9675173333333333, 8.3495675, 3.8043199999999997
2, 10, 45.4258, 20.9338, 66.3596, 2.58089, 1.11767, 3.69856, 0.9703055, 8.259115000000001, 3.734395
2, 11, 45.1596, 20.8941, 66.05369999999999, 2.62961, 1.19047, 3.82008, 0.9723415454545455, 8.27456, 3.8022325
2, 12, 44.8815, 20.6918, 65.5733, 2.61469, 1.13685, 3.75154, 0.9758070833333333, 8.2248775, 3.723325
2, 13, 44.5494, 20.5614, 65.1108, 2.59892, 1.13487, 3.73379, 0.9710630769230769, 8.167595, 3.705045
2, 14, 44.4174, 20.4905, 64.9079, 2.5664, 1.19513, 3.7615299999999996, 0.9728201428571428, 8.118575, 3.7564425000000004
2, 15, 44.0755, 20.3863, 64.4618, 2.61871, 1.21735, 3.83606, 0.9760586, 8.1281475, 3.7656374999999995
2, 16, 43.976, 20.3463, 64.3223, 2.53238, 1.17482, 3.7072, 0.968605875, 8.02938, 3.7181075

3, 1, 37.6622, 15.5496, 53.2118, 2.46909, 0.617329, 3.0864190000000002, 1.0, 7.176864999999999, 2.561029
3, 2, 35.5215, 15.0311, 50.552600000000005, 2.13157, 0.655737, 2.787307, 0.9954025, 6.5717575, 2.5346245
3, 3, 35.235, 14.7582, 49.9932, 3.05039, 1.03405, 4.08444, 0.9849533333333333, 7.454765, 2.878825
3, 4, 34.2289, 14.37, 48.5989, 2.70395, 0.944705, 3.6486549999999998, 0.973606, 6.9825625, 2.740955
3, 5, 33.985, 14.486, 48.471000000000004, 2.99922, 1.07805, 4.07727, 0.9706744, 7.247345, 2.8888
3, 6, 34.3246, 14.4773, 48.801899999999996, 2.80603, 1.03607, 3.8421, 0.9723286666666667, 7.096604999999999, 2.8457325
3, 7, 33.4098, 14.1047, 47.5145, 2.91346, 1.05037, 3.96383, 0.9698674285714286, 7.089684999999999, 2.8134575
3, 8, 33.1537, 14.08, 47.2337, 2.79561, 1.08541, 3.88102, 0.966871375, 6.9398225, 2.84541
3, 9, 33.3419, 14.1772, 47.5191, 2.89941, 1.12384, 4.02325, 0.9625775555555555, 7.067147500000001, 2.89599
3, 10, 32.8283, 13.9167, 46.745, 2.80426, 1.12977, 3.93403, 0.9705736, 6.9077975, 2.8693575
3, 11, 32.5322, 13.7891, 46.3213, 2.8814, 1.12311, 4.00451, 0.970344909090909, 6.947925000000001, 2.8467475
3, 12, 32.6016, 13.7489, 46.3505, 2.74447, 1.07468, 3.8191500000000005, 0.9690424166666666, 6.81967, 2.7932925
3, 13, 32.0925, 13.7212, 45.8137, 2.76842, 1.05434, 3.8227599999999997, 0.9720845384615384, 6.7799825, 2.7694900000000002
3, 14, 31.947, 13.4663, 45.4133, 2.87418, 1.12985, 4.00403, 0.9742205, 6.867554999999999, 2.8131375
3, 15, 32.2129, 13.7493, 45.962199999999996, 2.81727, 1.14986, 3.96713, 0.9652644666666668, 6.843882499999999, 2.8685225
3, 16, 31.8551, 13.5349, 45.39, 2.77913, 1.13276, 3.9118899999999996, 0.971783125, 6.7610174999999995, 2.8246225000000003

4, 1, 29.3808, 12.4331, 41.813900000000004, 2.5169, 0.615961, 3.132861, 1.0, 6.189500000000001, 2.1700985
4, 2, 27.7714, 11.9751, 39.7465, 2.21875, 0.687583, 2.906333, 0.9936235, 5.690175, 2.1844704999999998
4, 3, 27.5519, 11.6996, 39.2515, 3.24207, 1.06504, 4.30711, 0.9854253333333333, 6.6860575, 2.5274900000000002
4, 4, 27.1084, 11.6026, 38.711, 2.87706, 0.995216, 3.8722760000000003, 0.9764605, 6.265610000000001, 2.445541
4, 5, 26.6991, 11.5395, 38.238600000000005, 3.05768, 1.10396, 4.16164, 0.9709134, 6.3950675, 2.5463975000000003
4, 6, 26.6005, 11.3945, 37.995000000000005, 2.93047, 1.0719, 4.00237, 0.9687651666666667, 6.2555325, 2.4962125000000004
4, 7, 26.2678, 11.408, 37.6758, 3.01145, 1.12001, 4.13146, 0.9664152857142857, 6.294925, 2.54601
4, 8, 26.018, 11.3, 37.318, 2.80761, 1.06072, 3.8683300000000003, 0.97120625, 6.0598600000000005, 2.4732200000000004
4, 9, 25.6222, 11.0955, 36.7177, 2.93298, 1.12948, 4.06246, 0.9682777777777777, 6.135755, 2.5164175
4, 10, 25.6063, 11.1133, 36.7196, 2.87409, 1.11833, 3.99242, 0.9674651000000001, 6.0748774999999995, 2.5074925
