branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 51.8037, 23.5163, 75.32, 2.41775, 0.618184, 3.0359339999999997, 1.0, 8.8932125, 3.5577215
2, 2, 49.7499, 22.7471, 72.497, 2.05036, 0.682325, 2.732685, 0.996373, 8.269097499999999, 3.5257125
2, 3, 48.6638, 22.3796, 71.0434, 2.97288, 1.16581, 4.13869, 0.9883343333333333, 9.055855000000001, 3.96326
2, 4, 47.9333, 22.1642, 70.0975, 2.62246, 1.12572, 3.7481799999999996, 0.977382, 8.6141225, 3.8962450000000004
2, 5, 47.2427, 21.7376, 68.9803, 2.77919, 1.11058, 3.8897699999999995, 0.9669576, 8.6845275, 3.8277799999999997
2, 6, 46.3312, 21.5349, 67.8661, 2.54634, 1.07122, 3.61756, 0.9702408333333333, 8.33774, 3.7630825000000003
2, 7, 45.9967, 21.2678, 67.2645, 2.59051, 1.06215, 3.65266, 0.9681927142857143, 8.340097499999999, 3.720625
2, 8, 45.777, 21.1627, 66.9397, 2.45522, 1.10169, 3.5569100000000002, 0.9714465, 8.177345, 3.7470275
2, 9, 45.5327, 21.0388, 66.5715, 2.65797, 1.17447, 3.83244, 0.9675173333333333, 8.3495575, 3.8043199999999997
2, 10, 45.4258, 20.9338, 66.3596, 2.58089, 1.11767, 3.69856, 0.9703055, 8.259115000000001, 3.734395
2, 11, 45.1596, 20.8941, 66.05369999999999, 2.62959, 1.19047, 3.82006, 0.9723416363636364, 8.27454, 3.8022325
2, 12, 44.8815, 20.6918, 65.5733, 2.61469, 1.13685, 3.75154, 0.97580725, 8.2248775, 3.723325
2, 13, 44.5494, 20.5614, 65.1108, 2.59891, 1.13487, 3.7337800000000003, 0.9710630769230769, 8.167584999999999, 3.705045
2, 14, 44.4174, 20.4905, 64.9079, 2.56639, 1.19513, 3.76152, 0.9728202857142857, 8.118565, 3.7564425000000004
2, 15, 44.0755, 20.3863, 64.4618, 2.6187, 1.21735, 3.83605, 0.9760587333333334, 8.1281375, 3.7656374999999995
2, 16, 43.976, 20.3463, 64.3223, 2.53238, 1.17482, 3.7072, 0.968606, 8.02938, 3.7181075

3, 1, 36.2691, 16.0693, 52.3384, 2.43796, 0.617346, 3.055306, 1.0, 6.9715975, 2.6260084999999997
3, 2, 34.768, 15.5913, 50.359300000000005, 2.06328, 0.669594, 2.732874, 0.996398, 6.40928, 2.6185065
3, 3, 33.889, 15.2499, 49.13890000000001, 2.97787, 1.10941, 4.08728, 0.988627, 7.213995000000001, 3.0156475
3, 4, 33.5106, 15.2316, 48.7422, 2.68393, 1.14829, 3.8322200000000004, 0.97835125, 6.872755, 3.0522400000000003
3, 5, 33.2082, 14.954, 48.1622, 2.828, 1.10592, 3.9339199999999996, 0.9666758, 6.979025, 2.9751700000000003
3, 6, 32.4535, 14.8628, 47.3163, 2.60576, 1.07292, 3.67868, 0.9698431666666667, 6.6624475, 2.93077
3, 7, 32.2469, 14.585, 46.8319, 2.65647, 1.05627, 3.71274, 0.9682782857142858, 6.6873325, 2.879395
3, 8, 32.0316, 14.5378, 46.5694, 2.47864, 1.05509, 3.5337300000000003, 0.9662475, 6.48259, 2.8723150000000004
3, 9, 31.8657, 14.4718, 46.3375, 2.72753, 1.17369, 3.9012199999999995, 0.9673878888888888, 6.7107425, 2.982665
3, 10, 31.7471, 14.3639, 46.111, 2.63539, 1.11783, 3.7532200000000002, 0.970135, 6.6037775, 2.9133175
3, 11, 31.6562, 14.4317, 46.0879, 2.69192, 1.19295, 3.8848700000000003, 0.971786090909091, 6.648944999999999, 2.9969124999999996
3, 12, 31.3301, 14.1554, 45.4855, 2.67764, 1.12237, 3.80001, 0.975696, 6.5939025, 2.891795
3, 13, 31.1922, 14.1976, 45.3898, 2.66854, 1.15951, 3.82805, 0.9714603846153846, 6.567565, 2.93421
3, 14, 31.1191, 14.0314, 45.1505, 2.64494, 1.17776, 3.8227, 0.9770440714285714, 6.5348275000000005, 2.931685
3, 15, 30.7707, 13.9728, 44.7435, 2.7022, 1.21638, 3.91858, 0.9769942, 6.5485375, 2.96298
3, 16, 30.7726, 14.028, 44.8006, 2.6561, 1.23489, 3.89099, 0.9739381875, 6.502675, 2.98839

4, 1, 28.9143, 12.2057, 41.120000000000005, 2.46967, 0.617257, 3.0869269999999998, 1.0, 6.0839575, 2.1429695
4, 2, 27.7434, 11.7318, 39.4752, 2.09908, 0.692592, 2.7916719999999997, 0.9964555, 5.567005, 2.159067
4, 3, 27.1017, 11.633, 38.734700000000004, 3.01765, 1.11155, 4.1292, 0.9882753333333333, 6.405362500000001, 2.5656749999999997
4, 4, 26.8118, 11.5975, 38.4093, 2.72451, 1.15574, 3.88025, 0.97809625, 6.075985, 2.6054275000000002
4, 5, 26.3921, 11.334, 37.7261, 2.87204, 1.11363, 3.98567, 0.9680402000000001, 6.1710525, 2.53038
4, 6, 25.9047, 11.201, 37.1057, 2.64018, 1.06806, 3.70824, 0.9708345, 5.8782675, 2.468185
4, 7, 25.6671, 11.0864, 36.7535, 2.69732, 1.05726, 3.75458, 0.9693822857142856, 5.9057075, 2.44306
4, 8, 25.6161, 11.0037, 36.6198, 2.53729, 1.06242, 3.59971, 0.96672425, 5.7393025, 2.4378824999999997
4, 9, 25.5243, 11.0409, 36.565200000000004, 2.78717, 1.17832, 3.96549, 0.9677902222222223, 5.9777075, 2.5584325000000003
4, 10, 25.3669, 10.8647, 36.2316, 2.69625, 1.1176, 3.81385, 0.9701591, 5.8671125, 2.4756875
4, 11, 25.1862, 10.8614, 36.0476, 2.76002, 1.19305, 3.95307, 0.9728741818181817, 5.908295, 2.550725
4, 12, 25.1026, 10.7145, 35.817099999999996, 2.72372, 1.13048, 3.8542, 0.9759898333333333, 5.861545, 2.4697924999999996
4, 13, 24.87, 10.6688, 35.5388, 2.74796, 1.13792, 3.8858800000000002, 0.9721876923076922, 5.85671, 2.47152
4, 14, 24.7985, 10.6863, 35.4848, 2.68261, 1.19191, 3.87452, 0.9773562142857143, 5.7824225, 2.5276975
4, 15, 24.5968, 10.5541, 35.1509, 2.75005, 1.2125, 3.96255, 0.9761814666666666, 5.82465, 2.5317625
4, 16, 24.5386, 10.5637, 35.1023, 2.69473, 1.23494, 3.9296699999999998, 0.975619875, 5.762055, 2.5554025

5, 1, 25.5561, 10.7988, 36.3549, 2.49554, 0.616589, 3.1121290000000004, 1.0, 5.6900525, 1.966439
5, 2, 24.5989, 10.4243, 35.0232, 2.11409, 0.674462, 2.788552, 0.9963075, 5.1889525, 1.9774995
5, 3, 24.0575, 10.3384, 34.3959, 3.05271, 1.11856, 4.17127, 0.9885033333333334, 6.0598975, 2.41086
5, 4, 23.7842, 10.3914, 34.1756, 2.75381, 1.14925, 3.90306, 0.97798775, 5.7268349999999995, 2.448175
5, 5, 23.3567, 10.0229, 33.379599999999996, 2.93966, 1.10971, 4.04937, 0.9677548, 5.8592475, 2.3625724999999997
