branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 20.2004, 31.5336, 51.733999999999995, 2.42648, 3.7191, 6.145580000000001, 1.0, 4.95153, 7.6608
2, 2, 18.3671, 28.6618, 47.0289, 2.25804, 3.66413, 5.9221699999999995, 0.9928815, 4.5539275, 7.246855
2, 3, 17.2736, 26.6982, 43.9718, 2.18216, 3.5483, 5.73046, 0.9897916666666666, 4.34136, 6.885574999999999
2, 4, 16.5277, 25.3977, 41.925399999999996, 2.12656, 3.39711, 5.52367, 0.98779225, 4.1925225, 6.5718225
2, 5, 15.9978, 24.3644, 40.3622, 2.18781, 3.62259, 5.8104, 0.992, 4.187535, 6.66814
2, 6, 15.5449, 23.6338, 39.1787, 2.13517, 3.58646, 5.72163, 0.9876255, 4.0782825, 6.540685
2, 7, 14.9591, 22.7146, 37.6737, 2.15329, 3.56167, 5.71496, 0.9902101428571429, 4.0231775, 6.400995
2, 8, 14.899, 22.6011, 37.500099999999996, 2.21976, 3.71625, 5.93601, 0.99368575, 4.082135, 6.5413875
2, 9, 14.3137, 21.6041, 35.9178, 2.1712, 3.60381, 5.77501, 0.9964325555555555, 3.9604125, 6.3043225
2, 10, 14.2568, 21.255, 35.5118, 2.13041, 3.51231, 5.64272, 0.99304, 3.91251, 6.169185
2, 11, 14.0046, 21.1518, 35.156400000000005, 2.10697, 3.47569, 5.582660000000001, 0.9943447272727273, 3.857545, 6.119665
2, 12, 13.6504, 20.4407, 34.0911, 2.11108, 3.54714, 5.65822, 0.993519, 3.81738, 6.1022275
2, 13, 13.8182, 20.9824, 34.800599999999996, 2.12065, 3.4714, 5.59205, 0.9927363076923077, 3.847925, 6.0942
2, 14, 13.7774, 20.8725, 34.6499, 2.10671, 3.48945, 5.59616, 0.9867167142857143, 3.828885, 6.0985125
2, 15, 13.1931, 19.7423, 32.9354, 2.21607, 3.72405, 5.94012, 0.9905332666666666, 3.8652075000000004, 6.1918375
2, 16, 13.2049, 19.6029, 32.8078, 2.12927, 3.6186, 5.74787, 0.98261325, 3.7798825000000003, 6.0689625

3, 1, 14.8081, 22.1039, 36.912, 2.46802, 3.73365, 6.20167, 1.0, 4.3190325000000005, 6.4966375
3, 2, 13.3142, 19.666, 32.980199999999996, 2.50581, 3.84519, 6.351, 0.9921505, 4.170085, 6.30344
3, 3, 12.6211, 18.6187, 31.239800000000002, 2.50508, 3.84351, 6.34859, 0.9899576666666667, 4.0827175, 6.170847500000001
3, 4, 12.1134, 17.7469, 29.860300000000002, 2.47353, 3.74883, 6.22236, 0.98007925, 3.987705, 5.9671924999999995
3, 5, 11.7773, 17.2019, 28.9792, 2.36113, 3.74093, 6.10206, 0.9904506, 3.8332925, 5.8911675
3, 6, 11.296, 16.3227, 27.6187, 2.28984, 3.64204, 5.93188, 0.9884499999999999, 3.70184, 5.6823775
3, 7, 11.2062, 16.2705, 27.4767, 2.34778, 3.62424, 5.9720200000000006, 0.9825168571428572, 3.7485550000000005, 5.6580525
3, 8, 10.7422, 15.5442, 26.2864, 2.47609, 3.93117, 6.40726, 0.990603875, 3.818865, 5.874195
3, 9, 10.5587, 15.142, 25.700699999999998, 2.50683, 4.05011, 6.55694, 0.9927406666666667, 3.8266675, 5.94286
3, 10, 10.5858, 15.1828, 25.7686, 2.54176, 3.97815, 6.519909999999999, 0.9894261, 3.864985, 5.8759999999999994
