branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 20.2004, 31.5336, 51.733999999999995, 2.42648, 3.7191, 6.145580000000001, 1.0, 4.95153, 7.6608
2, 2, 18.3671, 28.6618, 47.0289, 2.25804, 3.66413, 5.9221699999999995, 0.9928815, 4.5539275, 7.246855
2, 3, 17.2736, 26.6982, 43.9718, 2.18216, 3.5483, 5.73046, 0.9897916666666666, 4.34136, 6.885574999999999
2, 4, 16.5277, 25.3977, 41.925399999999996, 2.12656, 3.39711, 5.52367, 0.98779225, 4.1925225, 6.5718225
2, 5, 15.9978, 24.3644, 40.3622, 2.18781, 3.62259, 5.8104, 0.992, 4.187535, 6.66814
2, 6, 15.5449, 23.6338, 39.1787, 2.13517, 3.58646, 5.72163, 0.9876255, 4.0782825, 6.540685
2, 7, 14.9591, 22.7146, 37.6737, 2.15329, 3.56167, 5.71496, 0.9902101428571429, 4.0231775, 6.400995
2, 8, 14.899, 22.6011, 37.500099999999996, 2.21976, 3.71625, 5.93601, 0.99368575, 4.082135, 6.5413875
2, 9, 14.3137, 21.6041, 35.9178, 2.1712, 3.60381, 5.77501, 0.9964325555555555, 3.9604125, 6.3043225
2, 10, 14.2568, 21.255, 35.5118, 2.13041, 3.51231, 5.64272, 0.99304, 3.91251, 6.169185
2, 11, 14.0046, 21.1518, 35.156400000000005, 2.10697, 3.47569, 5.582660000000001, 0.9943447272727273, 3.857545, 6.119665
2, 12, 13.6504, 20.4407, 34.0911, 2.11108, 3.54714, 5.65822, 0.993519, 3.81738, 6.1022275
2, 13, 13.8182, 20.9824, 34.800599999999996, 2.12065, 3.4714, 5.59205, 0.9927363076923077, 3.847925, 6.0942
2, 14, 13.7774, 20.8725, 34.6499, 2.10671, 3.48945, 5.59616, 0.9867167142857143, 3.828885, 6.0985125
2, 15, 13.1931, 19.7423, 32.9354, 2.21607, 3.72405, 5.94012, 0.9905332666666666, 3.8652075000000004, 6.1918375
2, 16, 13.2049, 19.6029, 32.8078, 2.12927, 3.6186, 5.74787, 0.98261325, 3.7798825000000003, 6.0689625

3, 1, 13.7108, 20.643, 34.3538, 2.44874, 3.7191, 6.16784, 1.0, 4.16259, 6.299475
3, 2, 12.6199, 19.0702, 31.6901, 2.275, 3.66413, 5.9391300000000005, 0.9928985, 3.8524874999999996, 6.047905
3, 3, 11.9354, 17.9357, 29.8711, 2.20883, 3.5483, 5.75713, 0.9897646666666667, 3.700755, 5.7902625
3, 4, 11.3973, 16.9528, 28.350099999999998, 2.15374, 3.39711, 5.5508500000000005, 0.987859, 3.5784025, 5.51621
3, 5, 11.011, 16.2782, 27.289199999999997, 2.22332, 3.62259, 5.84591, 0.9920036, 3.599695, 5.657365
3, 6, 10.7524, 15.8556, 26.608, 2.15863, 3.58646, 5.74509, 0.9876691666666666, 3.50268, 5.56841
3, 7, 10.2512, 15.0236, 25.2748, 2.18649, 3.56167, 5.74816, 0.9902782857142858, 3.46789, 5.43962
3, 8, 10.277, 15.1053, 25.3823, 2.24943, 3.71625, 5.96568, 0.993688875, 3.5340549999999995, 5.6044125000000005
3, 9, 9.88221, 14.4295, 24.31171, 2.19681, 3.60381, 5.80062, 0.9964441111111112, 3.4320862500000002, 5.4074975
3, 10, 9.89071, 14.2795, 24.17021, 2.15848, 3.51231, 5.67079, 0.9930842, 3.3948187499999998, 5.2972475
