branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost

2, 1, 76.951, 37.4649, 114.4159, 4.38616, 2.39372, 6.77988, 1.0, 14.005035, 7.0768325
2, 2, 72.3294, 34.3618, 106.69120000000001, 4.86136, 3.12993, 7.99129, 0.99785, 13.902535, 7.425155
2, 3, 70.0233, 33.9311, 103.9544, 5.56779, 4.12523, 9.69302, 0.9944443333333334, 14.3207025, 8.3666175
2, 4, 68.5761, 32.6538, 101.22989999999999, 5.61006, 3.94492, 9.55498, 0.99468575, 14.1820725, 8.026645
2, 5, 69.6739, 31.6905, 101.3644, 5.87224, 4.22019, 10.09243, 0.9948992000000001, 14.5814775, 8.1815025
2, 6, 68.6145, 31.1078, 99.7223, 5.69324, 3.92627, 9.61951, 0.9910068333333334, 14.270052500000002, 7.814745
2, 7, 67.2899, 30.1835, 97.4734, 5.71614, 4.12794, 9.84408, 0.9891352857142858, 14.127377500000001, 7.9008775
2, 8, 67.673, 29.7743, 97.4473, 5.60448, 3.71764, 9.32212, 0.989670125, 14.063604999999999, 7.4394275
2, 9, 66.8567, 29.508, 96.3647, 5.39148, 4.26345, 9.65493, 0.9905941111111112, 13.7485675, 7.95195
2, 10, 66.5425, 28.4873, 95.02980000000001, 5.19769, 3.70027, 8.89796, 0.9881384000000001, 13.5155025, 7.2611825
2, 11, 65.9174, 28.7462, 94.6636, 5.29027, 4.13227, 9.42254, 0.9932827272727273, 13.529945, 7.725545
2, 12, 65.7303, 27.9042, 93.6345, 5.81329, 3.78016, 9.59345, 0.9874319166666666, 14.0295775, 7.268185
2, 13, 64.9031, 28.245, 93.1481, 5.49465, 4.06643, 9.56108, 0.9868961538461539, 13.6075375, 7.597055000000001
2, 14, 65.356, 27.8347, 93.19069999999999, 5.39694, 3.94016, 9.3371, 0.975206, 13.56644, 7.4194975
2, 15, 64.5194, 27.6775, 92.1969, 5.70033, 4.23557, 9.9359, 0.9852623333333334, 13.765255, 7.6952575
2, 16, 64.8822, 27.5019, 92.38409999999999, 5.49014, 3.74477, 9.23491, 0.9754126875, 13.600415, 7.1825075

3, 1, 55.313, 24.6219, 79.9349, 4.41804, 2.39206, 6.8101, 1.0, 11.332165, 5.4697975
3, 2, 51.1648, 22.4422, 73.607, 5.01907, 3.12993, 8.149000000000001, 0.9978805, 11.414670000000001, 5.935205
3, 3, 49.6454, 22.4883, 72.1337, 5.77497, 4.13576, 9.910730000000001, 0.995072, 11.980644999999999, 6.946797500000001
3, 4, 48.8573, 21.4621, 70.3194, 5.66648, 3.94492, 9.6114, 0.99465025, 11.773642500000001, 6.627682500000001
3, 5, 49.9631, 20.9526, 70.9157, 5.90999, 4.23288, 10.142869999999998, 0.9947768, 12.1553775, 6.851955
